episode,discountedReturn,averageDiscountedReturn,episodeLength,averageEpisodeLength
1,5.4017341044,5.4017341044,14,14
2,4.317031,4.8593825522,7,10
3,-8.969981301,0.249594601135,10,10
4,6.12579511,1.71864472835,9,10
5,-14.60320489,-1.54572519532,9,9
6,-5.264815401,-2.16557356293,10,9
7,-3.917251611,-2.41581328409,10,9
8,-4.24280147891,-2.64418680844,16,10
9,4.9999858291,-1.79483429316,11,10
10,2.31949,-1.38340186384,6,10
11,6.513215599,-0.665527549036,10,10
12,5.981774599,-0.111585703367,10,10
13,-26.561,-2.14615603388,4,9
14,6.10232555941,-1.55697877721,14,10
15,-9.02620774641,-2.05492737516,21,10
16,5.7454735501,-1.56740231733,11,10
17,-2.9559936599,-1.64908416101,11,10
18,5.56156696167,-1.24849243197,13,10
19,5.16983727167,-0.910685605466,13,11
20,-2.065081301,-0.968405390243,10,10
21,4.53696673519,-0.706244812841,12,11
22,5.53084159609,-0.422740885162,12,11
23,-14.3046721,-1.02630311189,8,10
24,5.37980547267,-0.759381920871,13,11
25,2.439,-0.631446644036,4,10
26,-14.68420489,-1.1719373458,9,10
27,-3.496522301,-1.25803308489,10,10
28,5.68521463519,-1.01005995203,12,10
29,5.6347808254,-0.780927511424,14,10
30,5.30108966941,-0.578193605397,14,10
31,-2.0559936599,-0.625864574897,11,10
32,-9.876784401,-0.914955819462,10,10
33,-16.21441,-1.37857564312,17,11
34,0.0,-1.33802930067,1,10
35,-14.806274401,-1.72283630354,10,10
36,-0.776784401,-1.69655708402,10,10
37,5.04690308658,-1.51430140374,13,10
38,-4.87113505032,-1.60263913128,21,11
39,-21.81350179,-2.12086637894,9,11
40,6.40822464648,-1.9076391033,13,11
41,1.92214987776,-1.81422961596,13,11
42,6.2057940391,-1.62327667179,11,11
43,4.96217257057,-1.47012668941,18,11
44,-11.0195721,-1.68715953965,8,11
45,-10.8656721,-1.89112648544,8,11
46,4.0951,-1.76099112706,5,10
47,4.86535411,-1.62000505818,9,10
48,-2.87420489,-1.64613422135,9,10
49,6.034918699,-1.4893780393,10,10
50,-0.810606409219,-1.4758026067,21,11
51,6.37998169283,-1.32176762043,14,11
52,-7.28861489,-1.43651468331,9,11
53,6.26694052519,-1.29116647183,12,11
54,-0.238873324419,-1.27167956169,13,11
55,-3.3046721,-1.30864306239,8,11
56,3.7787869,-1.21779609877,8,11
57,5.27042400802,-1.10396767585,14,11
58,-25.31441,-1.52138909523,6,11
59,-12.4046721,-1.70585151904,8,10
60,-2.87420489,-1.72532407522,9,10
