episode,discountedReturn,averageDiscountedReturn,episodeLength,averageEpisodeLength
1,-1.5946721,-1.5946721,8,8
2,6.513215599,2.4592717495,10,9
3,6.12579511,3.681446203,9,9
4,6.513215599,4.389388552,10,9
5,6.12579511,4.7366698636,9,9
6,6.12579511,4.968190738,9,9
7,6.12579511,5.13356279114,9,9
8,6.513215599,5.30601939212,10,9
9,5.6953279,5.349275893,8,9
10,6.513215599,5.4656698636,10,9
11,5.6953279,5.48654786691,8,9
12,6.513215599,5.57210351125,10,9
13,-2.882969,4.92171331808,7,9
14,6.513215599,5.03539205243,10,9
15,6.513215599,5.1339136222,10,9
16,6.513215599,5.22011999575,10,9
17,6.513215599,5.296184443,10,9
18,6.513215599,5.363797285,10,9
19,6.513215599,5.42429298574,10,9
20,6.513215599,5.4787391164,10,9
21,6.513215599,5.52799990129,10,9
22,6.513215599,5.572782433,10,9
23,-2.87420489,5.20552211461,9,9
24,5.6953279,5.225930689,8,9
25,6.513215599,5.2774220854,10,9
26,6.513215599,5.32495260515,10,9
27,6.513215599,5.36896234567,10,9
28,5.6953279,5.38061825832,8,9
29,0.81138511,5.22305849459,9,9
30,6.513215599,5.2660637314,10,9
31,0.22089511,5.10331635652,9,9
32,6.513215599,5.14737570784,10,9
33,6.513215599,5.18876479545,10,9
34,5.6953279,5.20366371029,8,9
35,6.513215599,5.24107947854,10,9
36,5.217031,5.24041146525,7,9
37,6.513215599,5.27481157697,10,9
38,6.12579511,5.29720588047,9,9
39,6.513215599,5.32838561685,10,9
40,6.513215599,5.3580063664,10,9
41,6.513215599,5.38618220134,10,9
42,-13.782969,4.9297738394,7,9
43,6.12579511,4.95758828756,9,9
44,6.513215599,4.99294345373,10,9
45,-3.87420489,4.79589571276,9,9
46,1.0,4.71337624074,1,9
47,6.12579511,4.74342770604,9,9
48,6.12579511,4.77222702696,9,9
49,6.513215599,4.80775740598,10,9
50,6.12579511,4.83411816006,9,9
51,6.12579511,4.85944515908,9,9
52,3.439,4.83212890602,4,9
53,6.513215599,4.86384752287,10,9
54,6.513215599,4.89439137613,10,9
55,6.513215599,4.92382454382,10,9
56,4.68559,4.91957035554,6,9
57,6.513215599,4.94752904402,10,9
58,0.81138511,4.87621621757,9,9
59,6.12579511,4.89739552083,9,9
60,6.12579511,4.91786884732,9,9
61,6.513215599,4.94402207275,10,9
62,-1.16420489,4.84550228303,9,9
63,6.12579511,4.8658243914,9,9
64,6.12579511,4.88551143388,9,9
