episode,discountedReturn,averageDiscountedReturn,episodeLength,averageEpisodeLength
1,-0.8656721,-0.8656721,8,8
2,0.22089511,-0.322388495,9,8
3,-15.267869,-5.30421533,7,8
4,-14.3046721,-7.5543295225,8,8
5,-0.43520489,-6.130504596,9,8
6,-11.5946721,-7.04119918,8,8
7,1.34282611,-5.84348128143,9,8
8,6.12579511,-4.3473217325,9,8
9,6.513215599,-3.14059536233,10,8
10,-10.343969,-3.8609327261,7,8
11,5.217031,-3.03566329645,7,8
12,6.12579511,-2.27220842925,9,8
13,6.513215599,-1.59640658092,10,8
14,-10.5046721,-2.23271126086,8,8
15,-1.16420489,-2.1614775028,9,8
16,-35.31441,-4.23353578388,6,8
17,3.439,-3.78221014953,4,8
18,-0.43520489,-3.59626541289,9,8
19,6.513215599,-3.06418746489,10,8
20,5.6953279,-2.62621169665,8,8
21,-22.882969,-3.59081918729,7,8
22,-22.782969,-4.46318963332,7,8
23,0.3809179,-4.2525762623,8,8
24,6.12579511,-3.82014412179,9,8
25,5.217031,-3.45865711692,7,8
26,6.513215599,-3.07512355092,10,8
27,0.22089511,-2.9530487857,9,8
28,-2.4046721,-2.93346390407,8,8
29,-3.3046721,-2.94626418669,8,8
30,1.34282611,-2.80329451013,9,8
31,6.12579511,-2.5152593611,9,8
32,-2.4046721,-2.51180350919,8,8
33,6.513215599,-2.23831808167,10,8
34,0.22089511,-2.16598828191,9,8
35,6.12579511,-1.929080185,9,8
36,-3.3046721,-1.96729107153,8,8
37,-15.31441,-2.32802401554,6,8
38,-14.782969,-2.65578572566,7,8
39,-13.41441,-2.93164788654,6,8
40,0.22089511,-2.85283431163,9,8
41,-9.6946721,-3.01970840402,8,8
42,-3.3046721,-3.02649325393,8,8
43,6.12579511,-2.81364933849,9,8
44,5.6953279,-2.62026349216,8,8
45,-3.87420489,-2.64812885656,9,8
46,6.12579511,-2.45739137902,9,8
47,-11.21931,-2.64381517947,6,8
48,0.3809179,-2.58079990698,8,8
49,-3.851,-2.60672235786,4,8
50,-26.99441,-3.0944761107,6,8
51,-9.6190821,-3.22240956147,8,8
52,-10.8656721,-3.36939537952,8,8
53,6.513215599,-3.18293102143,10,8
54,-20.951,-3.51196933585,4,8
55,-14.3046721,-3.7082002952,8,8
56,6.12579511,-3.53259323439,9,8
57,-7.4266721,-3.60091040747,8,8
58,-1.97420489,-3.57286376062,9,8
59,0.3809179,-3.50585051214,8,8
60,-0.43520489,-3.4546730851,9,8
61,-9.6946721,-3.55696815092,8,8
62,6.513215599,-3.39454583237,10,8
63,6.513215599,-3.2372797779,10,8
64,-11.4046721,-3.36489528294,8,8
65,-1.97420489,-3.34350004612,9,8
66,-16.652969,-3.54515866664,7,8
67,6.513215599,-3.3950336776,10,8
68,5.6953279,-3.26135188969,8,8
69,-0.43520489,-3.22039323752,9,8
70,-2.87420489,-3.2154476897,9,8
71,-6.9090821,-3.26747070956,8,8
72,4.0951,-3.16521278304,5,8
73,6.12579511,-3.03793870232,9,8
74,0.3809179,-2.99173793742,8,8
75,-1.97420489,-2.97817083012,9,8
76,5.6953279,-2.86404584683,8,8
77,-18.633969,-3.06885004362,7,8
78,-26.41931,-3.36821491486,6,8
79,-12.4046721,-3.48260044885,8,8
80,6.513215599,-3.35765274825,10,8
81,-3.87420489,-3.36402993519,9,8
82,-8.9656721,-3.43234264451,8,8
83,6.12579511,-3.31718435831,9,8
84,0.3809179,-3.27315933143,8,8
85,6.513215599,-3.15802550872,10,8
86,-0.43520489,-3.12636480385,9,8
87,-0.2095721,-3.09283845093,8,8
88,0.22089511,-3.05518238774,9,8
89,-12.782969,-3.16448336091,7,8
90,6.513215599,-3.05695337247,10,8
91,6.513215599,-2.95178668047,10,8
92,5.6953279,-2.8577963046,8,8
93,-3.87420489,-2.86872542917,9,8
94,-23.782969,-3.09121738205,7,8
95,6.513215599,-2.99011808752,10,8
96,-6.7705721,-3.02949781681,8,8
97,-8.0876411,-3.08164362386,8,8
98,-14.465969,-3.19781020933,7,8
99,6.12579511,-3.10363237782,9,8
100,-0.43520489,-3.07694810294,9,8
101,5.6953279,-2.99009388509,8,8
102,6.12579511,-2.90072242435,9,8
103,6.12579511,-2.81308633179,9,8
104,5.6953279,-2.73127465648,8,8
105,-0.8656721,-2.71350701309,8,8
106,6.513215599,-2.62646246014,10,8
107,6.513215599,-2.54104490819,10,8
108,-2.87420489,-2.54412972283,9,8
109,6.12579511,-2.46458912804,9,8
110,-3.3046721,-2.47222624596,8,8
111,6.12579511,-2.39476659411,9,8
112,-4.4020511,-2.4126887772,8,8
113,-11.882969,-2.49649656678,7,8
114,0.3809179,-2.471256089,8,8
115,6.513215599,-2.39313024823,10,8
116,-15.194969,-2.50349092713,7,8
117,-3.782969,-2.51442663715,7,8
118,-2.4046721,-2.51349651396,8,8
119,6.12579511,-2.44089742468,9,8
120,1.82112301,-2.40538058773,9,8
121,6.513215599,-2.33167318122,10,8
122,-2.882969,-2.33619199941,7,8
123,-24.782969,-2.51868612137,7,8
124,0.9123589,-2.49101640345,8,8
125,-24.782969,-2.66935202422,7,8
126,-2.87420489,-2.67097784062,9,8
127,4.68559,-2.61305210959,6,8
128,-2.882969,-2.6151608353,7,8
129,6.12579511,-2.54740148688,9,8
130,-9.2095721,-2.59864895314,8,8
131,4.68559,-2.54304407563,6,8
132,1.82112301,-2.50998220377,9,8
133,-2.87420489,-2.51272072021,9,8
134,6.513215599,-2.44536298649,10,8
135,-11.882969,-2.51527117918,7,8
136,-10.5046721,-2.57401677418,8,8
137,-3.87420489,-2.58350719839,9,8
138,-29.16541,-2.77612968246,6,8
139,6.12579511,-2.71208705805,9,8
140,6.513215599,-2.64619203907,10,8
141,-3.3046721,-2.65086211043,8,8
142,4.0951,-2.603355335,5,8
143,6.513215599,-2.53960309071,10,8
144,-10.5046721,-2.59491606994,8,8
145,-1.97420489,-2.59063530318,9,8
146,6.513215599,-2.52828016001,10,8
147,6.513215599,-2.46677338614,10,8
148,-42.1049,-2.73459856597,5,8
149,6.513215599,-2.67253269909,10,8
150,-11.4046721,-2.73074696176,8,8
151,6.513215599,-2.66952866666,10,8
152,6.513215599,-2.60911587543,10,8
153,-0.2095721,-2.59343258278,8,8
154,4.0951,-2.55000055303,5,8
155,-12.41441,-2.6136419043,6,8
156,6.513215599,-2.55513640748,10,8
157,-0.43520489,-2.54163365896,9,8
158,6.12579511,-2.48677651485,9,8
159,-13.3046721,-2.55481359401,8,8
160,-2.882969,-2.55686456529,7,8
161,-12.3046721,-2.61740995371,8,8
162,4.68559,-2.57232970708,6,8
163,6.12579511,-2.51896697814,9,8
164,-10.4849,-2.56753974047,5,8
165,6.513215599,-2.51250485962,10,8
166,-20.982969,-2.62377271589,7,8
167,6.12579511,-2.57138009418,9,8
168,-4.31441,-2.58175527219,6,8
169,0.22089511,-2.56517154212,9,8
170,5.217031,-2.51939388011,7,8
171,6.513215599,-2.46657160245,10,8
172,-12.563279,-2.52527338965,7,8
173,5.6953279,-2.47775546312,8,8
174,6.12579511,-2.42830977017,9,8
175,5.6953279,-2.38188898348,8,8
176,-2.4046721,-2.38201843301,8,8
177,-18.097379,-2.47080578084,7,8
178,-11.4046721,-2.52099604106,8,8
179,-3.782969,-2.52804616932,7,8
180,-12.782969,-2.58501796283,7,8
181,-0.43520489,-2.57314054254,9,8
182,-7.29,-2.59905735274,3,8
183,-14.3046721,-2.66302246065,8,8
184,-9.6190821,-2.7008271326,8,8
185,-9.2095721,-2.73600953783,8,8
186,6.12579511,-2.68836542682,9,8
187,6.12579511,-2.6412308785,9,8
188,-2.4046721,-2.63997258712,8,8
189,0,-2.6260044782,0,8
190,6.12579511,-2.5799423751,9,8
