episode reward avg
1 -14.3046721 -14.3046721
2 -2.4046721 -8.3546721
3 -34.31441 -17.0079180667
4 -30.41441 -20.35954105
5 -2.87420489 -16.862473818
6 -2.87420489 -14.5310956633
7 1.82112301 -12.1950644243
8 0.22089511 -10.6430694825
9 -12.41441 -10.8398850956
10 -27.71441 -12.527337586
11 -43.9049 -15.37984326
12 -17.248869 -15.535595405
13 6.513215599 -13.8395330201
14 6.513215599 -12.3857652616
15 -25.45541 -13.2570749108
16 -12.3046721 -13.1975497351
17 -1.97420489 -12.5373529795
18 -3.87420489 -12.0560669746
