episode reward avg
1 5.6953279 5.6953279
2 -17.248869 -5.77677055
3 -1.16420489 -4.23924866333
4 6.513215599 -1.55113259775
5 -3.87420489 -2.0157470562
6 -3.3046721 -2.23056789683
7 -13.3046721 -3.812582783
8 6.513215599 -2.52185798525
9 6.513215599 -1.51796092033
10 -14.692769 -2.8354417283
11 -11.4046721 -3.61446267118
12 -78.1 -9.82159078192
13 -12.4046721 -10.0202893448
14 -2.87420489 -9.50985474093
15 -10.687869 -9.58838902487
16 -19.97541 -10.2375778358
17 -1.97420489 -9.75149707429
18 -24.782969 -10.5865788479
19 -1.5946721 -10.1133205981
20 6.513215599 -9.2819937882
21 -20.172969 -9.80061165543
22 -3.3046721 -9.50534167564
23 -36.7559 -10.6901485593
24 -2.87420489 -10.3644842398
25 -31.60441 -11.2140812702
26 -1.97420489 -10.8587014094
27 -17.197379 -11.0934672461
28 -14.3046721 -11.2081531337
29 6.513215599 -10.5970714533
30 -1.16420489 -10.2826425678
31 -5.9049 -10.1414250656
32 -35.31441 -10.9280808448
33 -35.5949 -11.6755602132
34 -7.4266721 -11.5505929157
35 0.81138511 -11.1973935436
36 -8.633969 -11.1261873063
37 -34.31441 -11.7528960277
38 -37.3049 -12.4253171849
39 -8.3095721 -12.3197852596
40 -11.4046721 -12.2969074306
