episode,discountedReturn,averageDiscountedReturn,episodeLength,averageEpisodeLength
1,-16.6574028609,-16.6574028609,11,11
2,-2.45062993833,-9.55401639961,13,12
3,4.70033488622,-4.802565971,15,13
4,1.67516517167,-3.18313318533,13,13
5,-11.3606149049,-4.81862952925,23,15
6,-2.82907380491,-4.48703690853,12,14
7,-2.8241102547,-4.24947595798,19,15
8,-11.0002562928,-5.09332349983,15,15
9,-7.31454170524,-5.34012552265,28,16
10,-4.51656433208,-5.2577694036,20,16
11,3.6553814493,-4.44748296242,31,18
12,5.52151930311,-3.61673277363,22,18
13,2.88920556164,-3.11627597861,32,19
14,2.3661,-2.72467769442,16,19
15,0.0,-2.54303251479,1,18
16,-16.2144228052,-3.39749440794,17,18
17,3.93631371327,-2.96609393022,19,18
18,-6.60327389,-3.16815948354,9,17
19,0.389742271034,-2.98090149646,19,17
20,6.0518940391,-2.52926171968,11,17
21,-16.2077495038,-3.18061828083,19,17
22,3.73719798328,-2.86617208701,24,17
23,2.31186376499,-2.64104009344,34,18
24,0.0,-2.53099675622,1,17
25,-4.45886976152,-2.60811167643,16,17
26,4.06691761424,-2.35137978064,28,18
27,4.02810098005,-2.11510271542,15,17
28,4.59795532832,-1.87535064243,16,17
29,-9.93457661135,-2.15325498619,21,17
30,0.341698421645,-2.0700898726,22,18
31,-1.91254678132,-2.06500783739,16,18
32,0.068254682671,-1.99834338364,13,17
33,2.14391955756,-1.87282026421,47,18
34,1.71,-1.76744319762,14,18
35,0.0,-1.71694482054,1,18
36,0.0,-1.66925190886,1,17
37,0.0,-1.6241369924,1,17
38,0.0,-1.58139654524,1,16
39,0.0,-1.54084791587,1,16
40,0.0,-1.50232671797,1,15
41,-9.4698128609,-1.69665564829,11,15
42,4.15324150119,-1.55737238283,28,16
43,-1.54495972533,-1.55708371637,16,16
44,-10.3938233499,-1.75791870804,11,16
45,-13.987692611,-2.02969146144,10,15
46,-16.1801060746,-2.33730917042,14,15
47,-3.917251611,-2.37092496703,10,15
48,3.86367564345,-2.24103745431,28,15
49,5.51373727167,-2.08277674562,13,15
50,6.08792350831,-1.91936274054,14,15
51,2.98794760362,-1.82314096909,24,16
52,-4.84521546676,-1.88125778635,25,16
53,-5.15352326481,-1.94299864443,12,16
54,3.160441,-1.84849050287,18,16
55,0.0,-1.81488158464,1,15
56,4.00283456905,-1.71099379618,15,15
57,5.51288225386,-1.58425912863,15,15
58,-10.857784401,-1.7441474954,10,15
59,-0.265041983284,-1.71907791045,18,15
60,-9.26420489,-1.84483002677,9,15
61,-13.25930489,-2.03195256551,9,15
62,-14.3764215146,-2.2310569034,16,15
63,5.25514647267,-2.11222827839,13,15
64,-24.074815401,-2.45539370218,10,15
65,3.27816363519,-2.36718512775,12,15
66,-3.39965022933,-2.38282853838,13,15
67,4.66976509894,-2.27756594678,17,15
68,-3.24719357936,-2.29182517667,26,15
69,-20.0768438609,-2.54957907065,11,15
70,-2.24571433504,-2.54523814585,16,15
71,-11.0694004748,-2.66529677021,12,15
72,2.53665525631,-2.5930474365,32,15
73,5.14922410475,-2.48698892224,22,15
74,4.4962635445,-2.39262064566,15,15
75,5.10626093257,-2.29263555795,15,15
76,4.71930759862,-2.200373148,18,15
77,5.36570463519,-2.10211239757,12,15
78,-4.85922440753,-2.13745998744,15,15
79,-3.1809633777,-2.15066889111,23,15
80,-3.35743303833,-2.16575344295,13,15
81,5.76009056069,-2.06790351698,20,15
82,-4.6285959609,-2.09913147361,11,15
83,5.70411846558,-2.00511641411,13,15
84,-26.234815401,-2.29356521157,10,15
85,5.52620317167,-2.20156793647,13,15
86,-6.50432739408,-2.25160002319,24,15
87,-2.5255264499,-2.25474860281,11,15
88,-2.31409276452,-2.25542296828,24,15
89,0.0,-2.23008113718,1,15
90,0.0,-2.20530245787,1,15
91,5.05207009227,-2.12555111117,19,15
92,5.18303524257,-2.04610995515,24,15
93,2.86190821,-1.99333556628,20,15
94,1.81,-1.95287454961,14,15
95,0.0,-1.93231797541,1,15
96,0.0,-1.91218966316,1,15
97,0.0,-1.89247636767,1,15
98,0.0,-1.87316538432,1,14
99,3.2851,-1.82106169357,5,14
100,4.98816363519,-1.75296944029,12,14
101,4.54809626105,-1.69058265116,16,14
102,5.1646648322,-1.6233743425,20,14
103,-6.13412421733,-1.66716803061,13,14
104,4.90573596167,-1.60396703068,13,14
105,0.164516726561,-1.58712432823,17,14
106,-2.52259297609,-1.59594950416,19,14
107,-5.9049,-1.63622006954,5,14
108,-5.28444492042,-1.66999992927,16,14
109,2.71,-1.62981644368,14,14
110,0.0,-1.61499993055,1,14
111,0.0,-1.60045038163,1,14
112,4.32089001184,-1.54758127097,18,14
113,-4.1816264499,-1.5708914053,11,14
114,5.703215599,-1.50708344912,10,14
115,4.20488273932,-1.45741417792,16,14
116,2.86515511194,-1.42015064956,25,14
117,5.5735971391,-1.36037502743,11,14
118,-4.20636806582,-1.3844936125,18,14
119,-6.93341007171,-1.43112316258,33,14
