episode,discountedReturn,averageDiscountedReturn,episodeLength,averageEpisodeLength
1,-4.23226909723,-4.23226909723,16,16
2,2.25029594908,-0.990986574077,23,19
3,4.224918699,0.747648516949,10,16
4,-3.8598191134,-0.404218390639,16,16
5,-1.8064028609,-0.684655284691,11,15
6,2.43032694188,-0.165491580263,23,16
7,-5.1545264499,-0.878210847354,11,15
8,5.09802619509,-0.131181217048,12,15
9,-3.87420489,-0.547072736265,9,14
10,5.79060463519,0.0866950008804,12,14
11,5.6644735501,0.593765778082,11,14
12,0,0.544285296575,0,12
13,-15.6998853648,-0.705266292762,12,12
14,-0.885765828329,-0.718159116731,13,12
15,-3.53030489,-0.905635501616,9,12
16,-4.27755635286,-1.11638055482,19,12
17,-1.97420489,-1.16684080983,9,12
18,5.26241645698,-0.809659850562,18,13
19,4.13467242215,-0.549431836209,16,13
20,0.0,-0.521960244399,11,13
21,-4.71107093833,-0.721441706014,13,13
22,1.9,-0.602285264832,2,12
23,-10.97420489,-1.05323829201,9,12
24,5.88851761789,-0.763998462434,17,12
25,4.24377363519,-0.563687578529,12,12
26,4.74813417167,-0.359386741983,13,12
27,2.51760303976,-0.252831564881,19,12
28,3.55401538391,-0.116872745282,17,12
29,3.488031,0.00743428041767,7,12
30,0,0.00718647107041,0,12
31,-8.36063636481,-0.262743297829,12,12
32,-3.87420489,-0.375601472584,9,12
33,-3.486784401,-0.469879743142,10,12
34,0.0,-0.456059750697,11,12
35,6.12579511,-0.268006754677,9,12
36,-1.60697469623,-0.305200308609,16,12
37,5.56309128958,-0.146597832983,16,12
38,4.6557307545,-0.0202207648908,14,12
39,1.0,0.00593874190126,1,12
40,-3.09060396985,-0.0714748258925,20,12
41,-24.782969,-0.674194195993,7,12
42,5.82702619509,-0.5194032343,12,12
43,3.16839493003,-0.433640486292,17,12
44,2.08736847584,-0.376344828062,18,12
45,-9.57490232918,-0.580757216976,19,12
46,4.51431367205,-0.469994806345,16,12
47,3.90371098005,-0.376937236422,15,12
48,-5.39732387606,-0.481528624747,17,12
49,2.5158680016,-0.420357265026,22,12
50,-1.73172731733,-0.446584666072,13,12
51,-8.89620489,-0.612263493992,9,12
52,4.68559,-0.510381696031,6,12
53,4.974215599,-0.4068987282,10,12
54,-4.2725028609,-0.478483989917,11,12
55,3.20923699062,-0.411434517543,20,12
56,2.66015110486,-0.356584774286,22,12
57,3.3661,-0.291274515088,5,12
58,5.1048379,-0.198238094138,8,12
59,5.857115599,-0.0956049806954,10,12
60,2.75971237467,-0.048016358106,16,12
61,3.83888974995,0.0157034141573,15,12
62,4.6613241876,0.0906327814709,16,12
63,1.729,0.116638610336,4,12
64,-4.25954101491,0.0482608036919,12,12
65,-13.025784401,-0.152878353303,10,12
66,4.80584854648,-0.077746127549,15,12
67,4.71939627167,-0.00614698726214,13,12
68,4.16145511066,0.0551412788837,19,12
69,1.0,0.0688348835376,1,12
70,-14.782969,-0.14333374337,7,12
71,0.0,-0.141314958252,11,12
72,5.2714040391,-0.0661383055112,11,12
73,-12.8408363648,-0.241134169337,12,12
74,6.35781693619,-0.151959154398,12,12
75,4.8853279,-0.0847953270057,8,12
76,-18.9283099434,-0.3327363088,16,12
77,-2.9559936599,-0.366804586087,11,12
78,-4.15450257097,-0.415364816662,17,12
79,2.71,-0.375803236704,3,12
80,-35.592969,-0.816017808746,7,12
81,1.0,-0.793597835798,12,12
82,2.11178594908,-0.758166326226,23,12
83,3.59783461494,-0.705684387176,18,12
84,3.90244222434,-0.650825737039,19,12
85,-0.491048761046,-0.64894600791,15,12
86,3.98549974995,-0.595057103749,15,12
87,3.86946721,-0.543740732326,9,12
88,-7.1354469609,-0.618646484924,11,12
89,5.02462277792,-0.555238965116,14,12
90,6.513215599,-0.476700581071,10,12
91,-14.46469489,-0.630414804246,9,12
92,6.513215599,-0.552766647689,10,12
93,4.9967535445,-0.493094387558,14,12
94,0.30519463519,-0.484601951145,12,12
95,-17.9846721,-0.66881321587,8,12
96,5.25083727167,-0.607150189958,13,12
97,2.71,-0.57295276532,3,12
98,-41.373459,-0.989284461592,7,12
99,0,-0.979291689252,0,12
100,-15.8744743555,-1.12824351591,14,12
101,1.71,-1.10014209497,3,12
102,1.0,-1.07955246658,12,12
103,-5.0336721,-1.11794197759,8,12
104,-46.029559,-1.54978444896,7,11
105,-9.551151611,-1.62598794574,10,11
106,4.2244144144,-1.57079547064,14,11
107,0.527887964504,-1.55118160676,14,12
108,4.3548630391,-1.49649600819,22,12
109,2.41401190987,-1.46061978876,23,12
110,5.217031,-1.3999138725,7,12
111,-0.857784401,-1.3950298232,10,12
112,3.74749821,-1.34911439434,20,12
113,0.63233023419,-1.33157948612,12,12
114,2.4395723655,-1.29849920672,14,12
115,3.84915894612,-1.25373696191,24,12
116,4.3228940391,-1.20566255673,11,12
117,2.34700821,-1.17529784932,9,12
118,-26.362374401,-1.38874765061,10,12
119,-11.0951621,-1.47031415859,8,12
120,4.8853279,-1.41735047476,8,12
121,-3.782969,-1.43690104109,7,12
122,1.0,-1.41692644239,1,12
123,-1.65899648098,-1.41889449149,14,12
124,-2.29116272833,-1.42592891275,13,12
125,5.3174828545,-1.37198161861,14,12
126,-12.70320489,-1.46191196204,9,12
127,2.71,-1.42906226155,3,12
128,4.02259046905,-1.38647122459,15,12
129,3.98745669548,-1.34481286862,17,12
130,-2.6242905599,-1.35465500471,11,12
131,-13.3046721,-1.44587650925,8,12
132,4.922725599,-1.39762952358,10,12
133,-0.391684401,-1.39006602642,10,11
134,4.63530511,-1.34510057018,9,11
135,5.27570463519,-1.29605756866,12,11
136,4.87010317167,-1.25071815145,13,11
137,-31.782969,-1.47358129633,7,11
138,-2.09270077934,-1.47806766939,19,11
139,-14.6121310602,-1.57255733408,18,12
140,0.251675329154,-1.55952710077,15,12
141,1.81,-1.53562974544,14,12
142,-1.94671822095,-1.53852473471,15,12
143,5.12243970247,-1.49194456382,15,12
144,-1.52369765897,-1.49216507142,17,12
145,3.39691435194,-1.4584472823,18,12
146,2.17613633878,-1.43355287393,26,12
147,-32.0336721,-1.6417169503,8,12
148,3.1203337144,-1.6095409323,19,12
149,3.39613950458,-1.57594576158,20,12
150,6.3304530391,-1.52323643624,11,12
151,1.0,-1.50652626117,12,12
152,-3.79376257481,-1.52157386849,12,12
153,-4.61220585381,-1.54177407755,12,12
154,4.7953279,-1.50062406471,8,12
155,3.63685700191,-1.46747902557,20,12
156,3.58604881115,-1.43508461636,16,12
157,-6.75097698637,-1.46894380343,24,12
158,3.974868487,-1.43448929526,18,12
159,4.83506946558,-1.39505810808,24,12
160,-12.56469489,-1.46486833797,9,12
161,5.77521463519,-1.41989887851,12,12
162,-13.2975731709,-1.49321785562,11,12
163,-0.667718169967,-1.48815344037,17,12
164,4.1518940391,-1.45376290696,11,12
165,1.71498389046,-1.43455838092,28,12
166,1.81,-1.4150128485,3,12
167,1.9,-1.39516247216,2,12
168,0.0,-1.38685793364,11,12
169,4.857115599,-1.34991134469,10,12
170,5.613215599,-1.30895177443,10,12
171,5.922725599,-1.26666126348,10,12
172,-2.37585964462,-1.27311009127,17,12
173,4.08608448746,-1.24213208793,17,12
174,-6.102459,-1.27006500122,18,12
175,4.8178692655,-1.23527680541,14,12
176,4.6959002655,-1.20157693569,14,12
177,5.15764417167,-1.16564913282,13,12
178,4.9618940391,-1.13122473298,11,12
179,-4.93673671609,-1.15248457646,17,12
180,5.8618940391,-1.11351580637,11,12
181,3.72530511,-1.08678198915,9,12
182,4.7803897545,-1.05454478177,14,12
183,5.42574742519,-1.01913334895,12,12
184,6.12579511,-0.980302216017,9,12
185,-4.296784401,-0.998229146747,10,12
186,-1.17669660476,-0.999188649209,33,12
187,2.14659,-0.982366303492,6,12
188,-3.87420489,-0.997748423633,9,12
189,-4.95378536481,-1.01867983602,12,12
190,3.9956723655,-0.992288508643,14,12
191,-1.4776792455,-0.994829821402,14,12
192,3.0951,-0.973528103582,16,12
193,4.6953279,-0.944155792682,8,12
194,5.7024268291,-0.909895057519,11,12
195,5.1328940391,-0.878906395485,11,12
196,2.84994369959,-0.859881650102,20,12
197,-20.74471489,-0.960819889898,9,12
198,4.29992667558,-0.9342504628,13,12
199,4.60035563494,-0.906438371856,17,12
200,6.17092619509,-0.871051549022,12,12
201,3.0278360642,-0.85165409821,18,12
202,5.3957940391,-0.820726137134,11,12
203,0.0,-0.816683151237,11,12
204,2.22065509668,-0.801794238257,27,12
205,4.23454874995,-0.777226711485,15,12
206,1.96411986808,-0.763919203817,24,12
207,6.2057940391,-0.730249091532,11,12
208,4.0951,-0.707050297823,5,12
209,4.32998448746,-0.682949652917,17,12
210,3.23554352868,-0.664290161576,19,12
211,4.79531509484,-0.638415255148,17,12
212,0.0,-0.635403862435,11,12
213,4.57211721463,-0.610955406674,17,12
214,4.488031,-0.587128367391,7,12
215,5.8618940391,-0.557132914337,11,12
216,-14.60320489,-0.622161025336,9,12
217,-3.486784401,-0.635362054717,10,12
218,-1.95178429885,-0.641400688864,16,12
219,1.0,-0.633905708549,1,12
220,-2.45961998816,-0.64220440982,18,12
221,-14.3353264499,-0.704164238056,11,12
222,0.9,-0.69693827302,2,12
223,-0.524568928329,-0.696165316317,13,12
224,-15.196784401,-0.760900222945,10,12
225,-3.1381059609,-0.771465581781,11,12
226,-2.09529536481,-0.777323235688,12,12
227,2.44680840186,-0.763120012615,23,12
228,-0.469791546496,-0.761833484255,14,12
229,2.28522948642,-0.748527532418,27,12
230,3.87475336445,-0.728426311127,17,12
231,-13.608715401,-0.784185138356,10,12
232,4.17223821506,-0.762821244591,16,12
233,-1.776784401,-0.767173017795,10,12
234,-16.7266136617,-0.835375755589,21,12
235,2.4637518217,-0.821336914835,22,12
236,-4.3046721,-0.836096809687,8,12
237,4.86722596167,-0.812032156643,13,12
238,-2.2947781746,-0.818262181929,14,12
239,0.0,-0.814838490791,11,12
240,1.49049,-0.805232955413,6,12
241,2.98158929724,-0.789520000008,19,12
242,5.7024268291,-0.762693773441,11,12
243,-22.782969,-0.853312190011,7,12
244,-2.586784401,-0.860416584319,10,12
245,-11.07420489,-0.902105516178,9,12
246,-9.26420489,-0.936097790056,9,12
247,3.00057571189,-0.920159840655,24,12
248,4.90938779093,-0.896653600205,17,12
249,-10.1848448645,-0.933955573154,13,12
250,2.78795532832,-0.919067929548,16,12
251,-11.5165029609,-0.961288786247,11,12
252,0.81,-0.954259862492,3,12
253,-2.586784401,-0.960712528652,10,12
254,5.82702619509,-0.93398914785,12,12
255,5.44670463519,-0.908966819289,12,12
256,1.66227680335,-0.898922898888,27,12
257,4.271774599,-0.878803453371,10,12
258,0.0,-0.875397238436,11,12
259,-2.20241863582,-0.880520873174,21,12
260,-4.60320489,-0.894838888624,9,12
261,-20.85990489,-0.971333394376,9,12
262,0.0,-0.967626015008,11,12
263,3.33456868681,-0.951267860249,20,12
264,-2.7181464555,-0.9579605822,14,12
265,5.39767363519,-0.933977056852,12,12
266,-3.4575959609,-0.943464345965,11,12
267,1.05547797007,-0.935977670624,27,12
268,5.8618940391,-0.910612477677,11,12
269,5.2599225445,-0.887673685773,14,12
270,4.7950238545,-0.866626657846,14,12
271,-0.400172350046,-0.864905424238,15,12
272,1.539,-0.856067536649,4,12
273,0.0,-0.852931758126,11,12
274,4.3094958291,-0.83409078153,11,12
275,2.98667593701,-0.820197084372,21,12
276,3.4020928545,-0.80489893242,14,12
277,2.17077621552,-0.79415642286,32,12
278,2.81899559078,-0.781159473171,25,12
279,-1.33779901995,-0.783154596995,15,12
280,4.46570463519,-0.764408671165,12,12
281,0.0233791774007,-0.76160515569,28,13
282,2.90682023895,-0.748596555,15,13
283,5.12579511,-0.727838987279,9,13
284,0,-0.725276173943,0,12
285,5.22579511,-0.70439522207,9,12
286,-1.82131743504,-0.708300544493,16,12
287,-9.52380536481,-0.739016589163,12,12
288,-1.02604484875,-0.740013215064,16,12
289,-10.79564589,-0.774807791794,9,12
290,3.71800815519,-0.759315323012,23,12
291,2.4264165179,-0.748367790912,20,13
292,5.59629370313,-0.726639498124,16,13
293,-2.87420489,-0.733969072841,9,13
294,4.47915399846,-0.716237361714,17,13
295,0.729,-0.711338252013,4,13
